value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
ＮＯ,010111000,010111000,110,単位2,50103,103_大韓民国,1990000000,1990年
ＮＯ,010111000,010111000,110,単位2,50210,210_フランス,1990000000,1990年
ＮＯ,010111000,010111000,110,単位2,50210,210_フランス,1989000000,1989年
ＮＯ,010111000,010111000,110,単位2,50210,210_フランス,1988000000,1988年
0,010111000,010111000,120,合計_数量1,50103,103_大韓民国,1990000000,1990年
0,010111000,010111000,120,合計_数量1,50210,210_フランス,1990000000,1990年
0,010111000,010111000,120,合計_数量1,50210,210_フランス,1989000000,1989年
0,010111000,010111000,120,合計_数量1,50210,210_フランス,1988000000,1988年
4,010111000,010111000,130,合計_数量2,50103,103_大韓民国,1990000000,1990年
1,010111000,010111000,130,合計_数量2,50210,210_フランス,1990000000,1990年
1,010111000,010111000,130,合計_数量2,50210,210_フランス,1989000000,1989年
3,010111000,010111000,130,合計_数量2,50210,210_フランス,1988000000,1988年
