value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
ＮＯ,010110000,010110000,110,単位2,50103,103_大韓民国,2005000000,2005年
ＮＯ,010110000,010110000,110,単位2,50103,103_大韓民国,2004000000,2004年
ＮＯ,010110000,010110000,110,単位2,50103,103_大韓民国,2003000000,2003年
ＮＯ,010110000,010110000,110,単位2,50103,103_大韓民国,2002000000,2002年
ＮＯ,010110000,010110000,110,単位2,50105,105_中華人民共和国,2002000000,2002年
ＮＯ,010110000,010110000,110,単位2,50108,108_香港,2002000000,2002年
ＮＯ,010110000,010110000,110,単位2,50205,205_英国,2004000000,2004年
ＮＯ,010110000,010110000,110,単位2,50205,205_英国,2002000000,2002年
ＮＯ,010110000,010110000,110,単位2,50206,206_アイルランド,2004000000,2004年
ＮＯ,010110000,010110000,110,単位2,50206,206_アイルランド,2002000000,2002年
ＮＯ,010110000,010110000,110,単位2,50207,207_オランダ,2003000000,2003年
ＮＯ,010110000,010110000,110,単位2,50210,210_フランス,2002000000,2002年
ＮＯ,010110000,010110000,110,単位2,50304,304_アメリカ合衆国,2005000000,2005年
ＮＯ,010110000,010110000,110,単位2,50304,304_アメリカ合衆国,2004000000,2004年
ＮＯ,010110000,010110000,110,単位2,50304,304_アメリカ合衆国,2003000000,2003年
ＮＯ,010110000,010110000,110,単位2,50304,304_アメリカ合衆国,2002000000,2002年
ＮＯ,010110000,010110000,110,単位2,50601,601_オーストラリア,2005000000,2005年
ＮＯ,010110000,010110000,110,単位2,50601,601_オーストラリア,2004000000,2004年
ＮＯ,010110000,010110000,110,単位2,50601,601_オーストラリア,2003000000,2003年
ＮＯ,010110000,010110000,110,単位2,50601,601_オーストラリア,2002000000,2002年
0,010110000,010110000,120,合計_数量1,50103,103_大韓民国,2005000000,2005年
0,010110000,010110000,120,合計_数量1,50103,103_大韓民国,2004000000,2004年
0,010110000,010110000,120,合計_数量1,50103,103_大韓民国,2003000000,2003年
0,010110000,010110000,120,合計_数量1,50103,103_大韓民国,2002000000,2002年
0,010110000,010110000,120,合計_数量1,50105,105_中華人民共和国,2002000000,2002年
0,010110000,010110000,120,合計_数量1,50108,108_香港,2002000000,2002年
0,010110000,010110000,120,合計_数量1,50205,205_英国,2004000000,2004年
0,010110000,010110000,120,合計_数量1,50205,205_英国,2002000000,2002年
0,010110000,010110000,120,合計_数量1,50206,206_アイルランド,2004000000,2004年
0,010110000,010110000,120,合計_数量1,50206,206_アイルランド,2002000000,2002年
0,010110000,010110000,120,合計_数量1,50207,207_オランダ,2003000000,2003年
0,010110000,010110000,120,合計_数量1,50210,210_フランス,2002000000,2002年
0,010110000,010110000,120,合計_数量1,50304,304_アメリカ合衆国,2005000000,2005年
0,010110000,010110000,120,合計_数量1,50304,304_アメリカ合衆国,2004000000,2004年
0,010110000,010110000,120,合計_数量1,50304,304_アメリカ合衆国,2003000000,2003年
0,010110000,010110000,120,合計_数量1,50304,304_アメリカ合衆国,2002000000,2002年
0,010110000,010110000,120,合計_数量1,50601,601_オーストラリア,2005000000,2005年
0,010110000,010110000,120,合計_数量1,50601,601_オーストラリア,2004000000,2004年
0,010110000,010110000,120,合計_数量1,50601,601_オーストラリア,2003000000,2003年
0,010110000,010110000,120,合計_数量1,50601,601_オーストラリア,2002000000,2002年
16,010110000,010110000,130,合計_数量2,50103,103_大韓民国,2005000000,2005年
10,010110000,010110000,130,合計_数量2,50103,103_大韓民国,2004000000,2004年
19,010110000,010110000,130,合計_数量2,50103,103_大韓民国,2003000000,2003年
25,010110000,010110000,130,合計_数量2,50103,103_大韓民国,2002000000,2002年
19,010110000,010110000,130,合計_数量2,50105,105_中華人民共和国,2002000000,2002年
2,010110000,010110000,130,合計_数量2,50108,108_香港,2002000000,2002年
2,010110000,010110000,130,合計_数量2,50205,205_英国,2004000000,2004年
1,010110000,010110000,130,合計_数量2,50205,205_英国,2002000000,2002年
2,010110000,010110000,130,合計_数量2,50206,206_アイルランド,2004000000,2004年
1,010110000,010110000,130,合計_数量2,50206,206_アイルランド,2002000000,2002年
5,010110000,010110000,130,合計_数量2,50207,207_オランダ,2003000000,2003年
5,010110000,010110000,130,合計_数量2,50210,210_フランス,2002000000,2002年
1,010110000,010110000,130,合計_数量2,50304,304_アメリカ合衆国,2005000000,2005年
3,010110000,010110000,130,合計_数量2,50304,304_アメリカ合衆国,2004000000,2004年
3,010110000,010110000,130,合計_数量2,50304,304_アメリカ合衆国,2003000000,2003年
14,010110000,010110000,130,合計_数量2,50304,304_アメリカ合衆国,2002000000,2002年
10,010110000,010110000,130,合計_数量2,50601,601_オーストラリア,2005000000,2005年
2,010110000,010110000,130,合計_数量2,50601,601_オーストラリア,2004000000,2004年
18,010110000,010110000,130,合計_数量2,50601,601_オーストラリア,2003000000,2003年
3,010110000,010110000,130,合計_数量2,50601,601_オーストラリア,2002000000,2002年
