value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
4894,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,1,療養病床を有する施設数,2,平成２７年
3844,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,2,病院（総数）,2,平成２７年
1314,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,3,病院（１～４９床）,2,平成２７年
1429,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,4,病院（５０～９９床）,2,平成２７年
1029,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,5,病院（１００～２９９床）,2,平成２７年
72,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,6,病院（３００床以上）,2,平成２７年
1050,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,7,一般診療所（総数）,2,平成２７年
517,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,8,一般診療所（１～９床）,2,平成２７年
533,79,療養病床を有する施設数,1,施設数（平成27年(2015)）,9,一般診療所（１０～１９床）,2,平成２７年
4973,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,1,療養病床を有する施設数,2,平成２７年
3848,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,2,病院（総数）,2,平成２７年
1327,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,3,病院（１～４９床）,2,平成２７年
1423,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,4,病院（５０～９９床）,2,平成２７年
1025,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,5,病院（１００～２９９床）,2,平成２７年
73,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,6,病院（３００床以上）,2,平成２７年
1125,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,7,一般診療所（総数）,2,平成２７年
558,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,8,一般診療所（１～９床）,2,平成２７年
567,79,療養病床を有する施設数,2,施設数（平成26年(2014)）,9,一般診療所（１０～１９床）,2,平成２７年
-79,79,療養病床を有する施設数,3,対前年（増減数）,1,療養病床を有する施設数,2,平成２７年
-4,79,療養病床を有する施設数,3,対前年（増減数）,2,病院（総数）,2,平成２７年
-13,79,療養病床を有する施設数,3,対前年（増減数）,3,病院（１～４９床）,2,平成２７年
6,79,療養病床を有する施設数,3,対前年（増減数）,4,病院（５０～９９床）,2,平成２７年
4,79,療養病床を有する施設数,3,対前年（増減数）,5,病院（１００～２９９床）,2,平成２７年
-1,79,療養病床を有する施設数,3,対前年（増減数）,6,病院（３００床以上）,2,平成２７年
-75,79,療養病床を有する施設数,3,対前年（増減数）,7,一般診療所（総数）,2,平成２７年
-41,79,療養病床を有する施設数,3,対前年（増減数）,8,一般診療所（１～９床）,2,平成２７年
-34,79,療養病床を有する施設数,3,対前年（増減数）,9,一般診療所（１０～１９床）,2,平成２７年
