value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,unit
85.1,22,推計患者数の年次推移,1,昭和５４年,1,総数,55,　Ｅ分類自動車交通事故（再掲）,千人
196.5,22,推計患者数の年次推移,1,昭和５４年,1,総数,56,Ｖ分類　健康状態に影響を及ぼす要因及び保健サービス受療の理由に関する補助分類,千人
129.4,22,推計患者数の年次推移,1,昭和５４年,1,総数,57,　歯の補綴（再掲）,千人
67.1,22,推計患者数の年次推移,1,昭和５４年,1,総数,58,　分娩前看護及び分娩後観察（再掲）,千人
1177.3,22,推計患者数の年次推移,1,昭和５４年,2,入院,1,総数,千人
67.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,2,１　感染症及び寄生虫症,千人
3.5,22,推計患者数の年次推移,1,昭和５４年,2,入院,3,　腸管感染症（再掲）,千人
55.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,4,　結核（再掲）,千人
1.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,5,　発疹を伴うウイルス疾患（再掲）,千人
0.2,22,推計患者数の年次推移,1,昭和５４年,2,入院,6,　真菌症（再掲）,千人
87.6,22,推計患者数の年次推移,1,昭和５４年,2,入院,7,２　新生物,千人
19.5,22,推計患者数の年次推移,1,昭和５４年,2,入院,8,　胃の悪性新生物（再掲）,千人
46.6,22,推計患者数の年次推移,1,昭和５４年,2,入院,9,　その他の悪性新生物（再掲）,千人
32.3,22,推計患者数の年次推移,1,昭和５４年,2,入院,10,３　内分泌，栄養及び代謝疾患並びに免疫障害,千人
2.5,22,推計患者数の年次推移,1,昭和５４年,2,入院,11,　甲状腺の疾患（再掲）,千人
26.9,22,推計患者数の年次推移,1,昭和５４年,2,入院,12,　糖尿病（再掲）,千人
6.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,13,４　血液及び造血器の疾患,千人
4.3,22,推計患者数の年次推移,1,昭和５４年,2,入院,14,　貧血（再掲）,千人
278.2,22,推計患者数の年次推移,1,昭和５４年,2,入院,15,５　精神障害,千人
189.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,16,　統合失調症（再掲）,千人
15.8,22,推計患者数の年次推移,1,昭和５４年,2,入院,17,　神経症（再掲）,千人
52.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,18,６　神経系及び感覚器の疾患,千人
9.9,22,推計患者数の年次推移,1,昭和５４年,2,入院,19,　視器の疾患（再掲）,千人
