value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label,unit
442,38,総患者数,1,総数,1,総数,48,１４　腎尿路生殖器系の疾患（前立腺肥大（症）（再掲））,1,平成２０年,千人
528,38,総患者数,1,総数,1,総数,49,１４　腎尿路生殖器系の疾患（乳房及び女性生殖器の疾患（再掲））,1,平成２０年,千人
150,38,総患者数,1,総数,1,総数,50,１５　妊娠，分娩及び産じょく,1,平成２０年,千人
2,38,総患者数,1,総数,1,総数,51,１５　妊娠，分娩及び産じょく（妊娠高血圧症候群（再掲））,1,平成２０年,千人
28,38,総患者数,1,総数,1,総数,52,１６　周産期に発生した病態,1,平成２０年,千人
115,38,総患者数,1,総数,1,総数,53,１７　先天奇形，変形及び染色体異常,1,平成２０年,千人
557,38,総患者数,1,総数,1,総数,54,１８　症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,1,平成２０年,千人
1212,38,総患者数,1,総数,1,総数,55,１９　損傷，中毒及びその他の外因の影響,1,平成２０年,千人
510,38,総患者数,1,総数,1,総数,56,１９　損傷，中毒及びその他の外因の影響（骨折（再掲））,1,平成２０年,千人
3559,38,総患者数,1,総数,1,総数,57,２１　健康状態に影響を及ぼす要因及び保健サービスの利用,1,平成２０年,千人
1916,38,総患者数,1,総数,1,総数,58,２１　健康状態に影響を及ぼす要因及び保健サービスの利用（歯の補てつ（再掲））,1,平成２０年,千人
15,38,総患者数,1,総数,2,０歳,1,１　感染症及び寄生虫症,1,平成２０年,千人
7,38,総患者数,1,総数,2,０歳,2,１　感染症及び寄生虫症（腸管感染症（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,3,１　感染症及び寄生虫症（結核（再掲））,1,平成２０年,千人
2,38,総患者数,1,総数,2,０歳,4,１　感染症及び寄生虫症（皮膚及び粘膜の病変を伴うウイルス疾患（再掲））,1,平成２０年,千人
2,38,総患者数,1,総数,2,０歳,5,１　感染症及び寄生虫症（真菌症（再掲））,1,平成２０年,千人
3,38,総患者数,1,総数,2,０歳,6,２　新生物,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,7,２　新生物（（悪性新生物）（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,8,２　新生物（胃の悪性新生物（再掲））,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,9,２　新生物（結腸及び直腸の悪性新生物（再掲））,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,10,２　新生物（気管，気管支及び肺の悪性新生物（再掲））,1,平成２０年,千人
3,38,総患者数,1,総数,2,０歳,11,３　血液及び造血器の疾患並びに免疫機構の障害,1,平成２０年,千人
5,38,総患者数,1,総数,2,０歳,12,４　内分泌，栄養及び代謝疾患,1,平成２０年,千人
1,38,総患者数,1,総数,2,０歳,13,４　内分泌，栄養及び代謝疾患（甲状腺障害（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,14,４　内分泌，栄養及び代謝疾患（糖尿病（再掲））,1,平成２０年,千人
1,38,総患者数,1,総数,2,０歳,15,５　精神及び行動の障害,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,16,５　精神及び行動の障害（統合失調症，統合失調症型障害及び妄想性障害（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,17,５　精神及び行動の障害（気分［感情］障害（躁うつ病を含む）（再掲））,1,平成２０年,千人
