value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
1.62,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2009000000,2009年
1.61,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2010000000,2010年
1.62,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2011000000,2011年
1.59,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2012000000,2012年
1.58,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2013000000,2013年
1.66,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2014000000,2014年
1.61,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2015000000,2015年
1.63,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2016000000,2016年
1.66,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2017000000,2017年
1.83,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2018000000,2018年
1.8,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2019000000,2019年
1.95,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2020000000,2020年
2.09,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2021000000,2021年
2.06,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2022000000,2022年
2.14,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2023000000,2023年
2.1,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,2024000000,2024年
59.59,120,度数率,300,総合工事業,300,計,1952000000,1952年
63.85,120,度数率,300,総合工事業,300,計,1953000000,1953年
65.44,120,度数率,300,総合工事業,300,計,1954000000,1954年
47.28,120,度数率,300,総合工事業,300,計,1955000000,1955年
39.64,120,度数率,300,総合工事業,300,計,1956000000,1956年
42.97,120,度数率,300,総合工事業,300,計,1957000000,1957年
37.69,120,度数率,300,総合工事業,300,計,1958000000,1958年
33.26,120,度数率,300,総合工事業,300,計,1959000000,1959年
27.88,120,度数率,300,総合工事業,300,計,1960000000,1960年
25.53,120,度数率,300,総合工事業,300,計,1961000000,1961年
22.71,120,度数率,300,総合工事業,300,計,1962000000,1962年
17.76,120,度数率,300,総合工事業,300,計,1963000000,1963年
17.39,120,度数率,300,総合工事業,300,計,1964000000,1964年
16.24,120,度数率,300,総合工事業,300,計,1965000000,1965年
15.53,120,度数率,300,総合工事業,300,計,1966000000,1966年
13.93,120,度数率,300,総合工事業,300,計,1967000000,1967年
19.86,120,度数率,300,総合工事業,300,計,1968000000,1968年
15.61,120,度数率,300,総合工事業,300,計,1969000000,1969年
15.44,120,度数率,300,総合工事業,300,計,1970000000,1970年
15.5,120,度数率,300,総合工事業,300,計,1971000000,1971年
14.14,120,度数率,300,総合工事業,300,計,1972000000,1972年
14.22,120,度数率,300,総合工事業,300,計,1973000000,1973年
12.34,120,度数率,300,総合工事業,300,計,1974000000,1974年
8.22,120,度数率,300,総合工事業,300,計,1975000000,1975年
5.96,120,度数率,300,総合工事業,300,計,1976000000,1976年
7.63,120,度数率,300,総合工事業,300,計,1977000000,1977年
8.43,120,度数率,300,総合工事業,300,計,1978000000,1978年
6.92,120,度数率,300,総合工事業,300,計,1979000000,1979年
6.67,120,度数率,300,総合工事業,300,計,1980000000,1980年
4.55,120,度数率,300,総合工事業,300,計,1981000000,1981年
2.71,120,度数率,300,総合工事業,300,計,1982000000,1982年
2.28,120,度数率,300,総合工事業,300,計,1983000000,1983年
2.2,120,度数率,300,総合工事業,300,計,1984000000,1984年
2.09,120,度数率,300,総合工事業,300,計,1985000000,1985年
2.89,120,度数率,300,総合工事業,300,計,1986000000,1986年
2.55,120,度数率,300,総合工事業,300,計,1987000000,1987年
1.96,120,度数率,300,総合工事業,300,計,1988000000,1988年
2.39,120,度数率,300,総合工事業,300,計,1989000000,1989年
1.76,120,度数率,300,総合工事業,300,計,1990000000,1990年
2.27,120,度数率,300,総合工事業,300,計,1991000000,1991年
1.97,120,度数率,300,総合工事業,300,計,1992000000,1992年
1.36,120,度数率,300,総合工事業,300,計,1993000000,1993年
2.4,120,度数率,300,総合工事業,300,計,1994000000,1994年
2.25,120,度数率,300,総合工事業,300,計,1995000000,1995年
1.25,120,度数率,300,総合工事業,300,計,1996000000,1996年
1.11,120,度数率,300,総合工事業,300,計,1997000000,1997年
1.32,120,度数率,300,総合工事業,300,計,1998000000,1998年
1.44,120,度数率,300,総合工事業,300,計,1999000000,1999年
