value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
417038006,100,在院患者延数,100,総数,100,総数,00000,全国,2021000000,令和３年（2021年）,人
75945149,100,在院患者延数,130,精神科病院,100,総数,00000,全国,2021000000,令和３年（2021年）,人
341092857,100,在院患者延数,150,一般病院,100,総数,00000,全国,2021000000,令和３年（2021年）,人
22884523,100,在院患者延数,150,一般病院,110,精神病床,00000,全国,2021000000,令和３年（2021年）,人
2349041,100,在院患者延数,150,一般病院,120,感染症病床,00000,全国,2021000000,令和３年（2021年）,人
420896,100,在院患者延数,150,一般病院,130,結核病床,00000,全国,2021000000,令和３年（2021年）,人
89401473,100,在院患者延数,150,一般病院,140,療養病床,00000,全国,2021000000,令和３年（2021年）,人
226036924,100,在院患者延数,150,一般病院,150,一般病床,00000,全国,2021000000,令和３年（2021年）,人
4058861,100,在院患者延数,150,一般病院,180,介護療養病床（再掲）,00000,全国,2021000000,令和３年（2021年）,人
1142570,190,１日平均在院患者数,100,総数,100,総数,00000,全国,2021000000,令和３年（2021年）,人
208069,190,１日平均在院患者数,130,精神科病院,100,総数,00000,全国,2021000000,令和３年（2021年）,人
934501,190,１日平均在院患者数,150,一般病院,100,総数,00000,全国,2021000000,令和３年（2021年）,人
62697,190,１日平均在院患者数,150,一般病院,110,精神病床,00000,全国,2021000000,令和３年（2021年）,人
6436,190,１日平均在院患者数,150,一般病院,120,感染症病床,00000,全国,2021000000,令和３年（2021年）,人
1153,190,１日平均在院患者数,150,一般病院,130,結核病床,00000,全国,2021000000,令和３年（2021年）,人
244936,190,１日平均在院患者数,150,一般病院,140,療養病床,00000,全国,2021000000,令和３年（2021年）,人
619279,190,１日平均在院患者数,150,一般病院,150,一般病床,00000,全国,2021000000,令和３年（2021年）,人
11120,190,１日平均在院患者数,150,一般病院,180,介護療養病床（再掲）,00000,全国,2021000000,令和３年（2021年）,人
15154806,120,新入院患者数,100,総数,100,総数,00000,全国,2021000000,令和３年（2021年）,人
246385,120,新入院患者数,130,精神科病院,100,総数,00000,全国,2021000000,令和３年（2021年）,人
14908421,120,新入院患者数,150,一般病院,100,総数,00000,全国,2021000000,令和３年（2021年）,人
110912,120,新入院患者数,150,一般病院,110,精神病床,00000,全国,2021000000,令和３年（2021年）,人
250081,120,新入院患者数,150,一般病院,120,感染症病床,00000,全国,2021000000,令和３年（2021年）,人
8568,120,新入院患者数,150,一般病院,130,結核病床,00000,全国,2021000000,令和３年（2021年）,人
429636,120,新入院患者数,150,一般病院,140,療養病床,00000,全国,2021000000,令和３年（2021年）,人
14109224,120,新入院患者数,150,一般病院,150,一般病床,00000,全国,2021000000,令和３年（2021年）,人
6372,120,新入院患者数,150,一般病院,180,介護療養病床（再掲）,00000,全国,2021000000,令和３年（2021年）,人
41520,210,１日平均新入院患者数,100,総数,100,総数,00000,全国,2021000000,令和３年（2021年）,人
675,210,１日平均新入院患者数,130,精神科病院,100,総数,00000,全国,2021000000,令和３年（2021年）,人
40845,210,１日平均新入院患者数,150,一般病院,100,総数,00000,全国,2021000000,令和３年（2021年）,人
304,210,１日平均新入院患者数,150,一般病院,110,精神病床,00000,全国,2021000000,令和３年（2021年）,人
