value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,unit
2947.4,22,推計患者数の年次推移,01,昭和30年,1,全　　施　　設,1,総数,千人
470.4,22,推計患者数の年次推移,01,昭和30年,1,全　　施　　設,2,入院,千人
11.6,22,推計患者数の年次推移,01,昭和30年,1,全　　施　　設,3,入院（新入院）,千人
458.9,22,推計患者数の年次推移,01,昭和30年,1,全　　施　　設,4,入院（繰越入院）,千人
2477,22,推計患者数の年次推移,01,昭和30年,1,全　　施　　設,5,外来,千人
495.7,22,推計患者数の年次推移,01,昭和30年,1,全　　施　　設,6,外来（初診）,千人
1981.3,22,推計患者数の年次推移,01,昭和30年,1,全　　施　　設,7,外来（再来）,千人
145.7,22,推計患者数の年次推移,01,昭和30年,1,全　　施　　設,8,外来（往診（再掲））,千人
1025.5,22,推計患者数の年次推移,01,昭和30年,2,病　　　　　院,1,総数,千人
426,22,推計患者数の年次推移,01,昭和30年,2,病　　　　　院,2,入院,千人
8.7,22,推計患者数の年次推移,01,昭和30年,2,病　　　　　院,3,入院（新入院）,千人
417.3,22,推計患者数の年次推移,01,昭和30年,2,病　　　　　院,4,入院（繰越入院）,千人
599.5,22,推計患者数の年次推移,01,昭和30年,2,病　　　　　院,5,外来,千人
92.2,22,推計患者数の年次推移,01,昭和30年,2,病　　　　　院,6,外来（初診）,千人
507.3,22,推計患者数の年次推移,01,昭和30年,2,病　　　　　院,7,外来（再来）,千人
8.9,22,推計患者数の年次推移,01,昭和30年,2,病　　　　　院,8,外来（往診（再掲））,千人
1549.8,22,推計患者数の年次推移,01,昭和30年,3,一般診療所,1,総数,千人
44.4,22,推計患者数の年次推移,01,昭和30年,3,一般診療所,2,入院,千人
2.9,22,推計患者数の年次推移,01,昭和30年,3,一般診療所,3,入院（新入院）,千人
41.6,22,推計患者数の年次推移,01,昭和30年,3,一般診療所,4,入院（繰越入院）,千人
1505.4,22,推計患者数の年次推移,01,昭和30年,3,一般診療所,5,外来,千人
327.6,22,推計患者数の年次推移,01,昭和30年,3,一般診療所,6,外来（初診）,千人
1177.9,22,推計患者数の年次推移,01,昭和30年,3,一般診療所,7,外来（再来）,千人
136.8,22,推計患者数の年次推移,01,昭和30年,3,一般診療所,8,外来（往診（再掲））,千人
372.1,22,推計患者数の年次推移,01,昭和30年,4,歯科診療所,1,総数,千人
