value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
1236,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,03000,岩手県,1980000000,1980年,人
3102,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,04000,宮城県,1980000000,1980年,人
874,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,05000,秋田県,1980000000,1980年,人
595,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,06000,山形県,1980000000,1980年,人
1874,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,07000,福島県,1980000000,1980年,人
3472,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,08000,茨城県,1980000000,1980年,人
1968,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,09000,栃木県,1980000000,1980年,人
2493,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,10000,群馬県,1980000000,1980年,人
8829,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,11000,埼玉県,1980000000,1980年,人
8883,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,12000,千葉県,1980000000,1980年,人
58031,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,13000,東京都,1980000000,1980年,人
23676,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,14000,神奈川県,1980000000,1980年,人
2340,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,15000,新潟県,1980000000,1980年,人
1727,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,16000,富山県,1980000000,1980年,人
2795,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,17000,石川県,1980000000,1980年,人
4532,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,18000,福井県,1980000000,1980年,人
1223,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,19000,山梨県,1980000000,1980年,人
4189,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,20000,長野県,1980000000,1980年,人
9532,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,21000,岐阜県,1980000000,1980年,人
6584,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,22000,静岡県,1980000000,1980年,人
48558,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,23000,愛知県,1980000000,1980年,人
7374,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,24000,三重県,1980000000,1980年,人
6785,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,25000,滋賀県,1980000000,1980年,人
41063,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,26000,京都府,1980000000,1980年,人
