value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,area,area_label,time,time_label,unit
376772,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,47000,沖縄県,1980000000,1980年,人
12383277,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,00000,全国,1980000000,1980年,人
9849806,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,00001,全国市部,1980000000,1980年,人
2533471,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,00002,全国郡部,1980000000,1980年,人
547196,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,01000,北海道,1980000000,1980年,人
147613,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,02000,青森県,1980000000,1980年,人
134314,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,03000,岩手県,1980000000,1980年,人
223465,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,04000,宮城県,1980000000,1980年,人
113565,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,05000,秋田県,1980000000,1980年,人
116234,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,06000,山形県,1980000000,1980年,人
196079,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,07000,福島県,1980000000,1980年,人
259695,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,08000,茨城県,1980000000,1980年,人
178296,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,09000,栃木県,1980000000,1980年,人
178290,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,10000,群馬県,1980000000,1980年,人
579183,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,11000,埼玉県,1980000000,1980年,人
502394,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,12000,千葉県,1980000000,1980年,人
1763414,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,13000,東京都,1980000000,1980年,人
862031,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,14000,神奈川県,1980000000,1980年,人
227752,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,15000,新潟県,1980000000,1980年,人
91023,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,16000,富山県,1980000000,1980年,人
101995,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,17000,石川県,1980000000,1980年,人
69708,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,18000,福井県,1980000000,1980年,人
