value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
33126,00700,全域,000,男女総数,001,０歳,15000,新潟県,1980000000,1980年,人
13697,00700,全域,000,男女総数,001,０歳,16000,富山県,1980000000,1980年,人
15285,00700,全域,000,男女総数,001,０歳,17000,石川県,1980000000,1980年,人
10852,00700,全域,000,男女総数,001,０歳,18000,福井県,1980000000,1980年,人
10096,00700,全域,000,男女総数,001,０歳,19000,山梨県,1980000000,1980年,人
27285,00700,全域,000,男女総数,001,０歳,20000,長野県,1980000000,1980年,人
25968,00700,全域,000,男女総数,001,０歳,21000,岐阜県,1980000000,1980年,人
48073,00700,全域,000,男女総数,001,０歳,22000,静岡県,1980000000,1980年,人
88156,00700,全域,000,男女総数,001,０歳,23000,愛知県,1980000000,1980年,人
21455,00700,全域,000,男女総数,001,０歳,24000,三重県,1980000000,1980年,人
16200,00700,全域,000,男女総数,001,０歳,25000,滋賀県,1980000000,1980年,人
32721,00700,全域,000,男女総数,001,０歳,26000,京都府,1980000000,1980年,人
112907,00700,全域,000,男女総数,001,０歳,27000,大阪府,1980000000,1980年,人
70033,00700,全域,000,男女総数,001,０歳,28000,兵庫県,1980000000,1980年,人
15998,00700,全域,000,男女総数,001,０歳,29000,奈良県,1980000000,1980年,人
13630,00700,全域,000,男女総数,001,０歳,30000,和歌山県,1980000000,1980年,人
8289,00700,全域,000,男女総数,001,０歳,31000,鳥取県,1980000000,1980年,人
10029,00700,全域,000,男女総数,001,０歳,32000,島根県,1980000000,1980年,人
24426,00700,全域,000,男女総数,001,０歳,33000,岡山県,1980000000,1980年,人
37512,00700,全域,000,男女総数,001,０歳,34000,広島県,1980000000,1980年,人
20046,00700,全域,000,男女総数,001,０歳,35000,山口県,1980000000,1980年,人
10429,00700,全域,000,男女総数,001,０歳,36000,徳島県,1980000000,1980年,人
13084,00700,全域,000,男女総数,001,０歳,37000,香川県,1980000000,1980年,人
19665,00700,全域,000,男女総数,001,０歳,38000,愛媛県,1980000000,1980年,人
9592,00700,全域,000,男女総数,001,０歳,39000,高知県,1980000000,1980年,人
64967,00700,全域,000,男女総数,001,０歳,40000,福岡県,1980000000,1980年,人
12601,00700,全域,000,男女総数,001,０歳,41000,佐賀県,1980000000,1980年,人
22369,00700,全域,000,男女総数,001,０歳,42000,長崎県,1980000000,1980年,人
