value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
1398,2020_05,就業者数,0,総数,0,総数,0,総数,01392,寿都町,2015000000,2015年,人
1336,2020_05,就業者数,0,総数,0,総数,0,総数,01393,黒松内町,2015000000,2015年,人
2401,2020_05,就業者数,0,総数,0,総数,0,総数,01394,蘭越町,2015000000,2015年,人
2562,2020_05,就業者数,0,総数,0,総数,0,総数,01395,ニセコ町,2015000000,2015年,人
1144,2020_05,就業者数,0,総数,0,総数,0,総数,01396,真狩村,2015000000,2015年,人
1215,2020_05,就業者数,0,総数,0,総数,0,総数,01397,留寿都村,2015000000,2015年,人
1211,2020_05,就業者数,0,総数,0,総数,0,総数,01398,喜茂別町,2015000000,2015年,人
1568,2020_05,就業者数,0,総数,0,総数,0,総数,01399,京極町,2015000000,2015年,人
8168,2020_05,就業者数,0,総数,0,総数,0,総数,01400,倶知安町,2015000000,2015年,人
3512,2020_05,就業者数,0,総数,0,総数,0,総数,01401,共和町,2015000000,2015年,人
6382,2020_05,就業者数,0,総数,0,総数,0,総数,01402,岩内町,2015000000,2015年,人
887,2020_05,就業者数,0,総数,0,総数,0,総数,01403,泊村,2015000000,2015年,人
472,2020_05,就業者数,0,総数,0,総数,0,総数,01404,神恵内村,2015000000,2015年,人
1047,2020_05,就業者数,0,総数,0,総数,0,総数,01405,積丹町,2015000000,2015年,人
1575,2020_05,就業者数,0,総数,0,総数,0,総数,01406,古平町,2015000000,2015年,人
1890,2020_05,就業者数,0,総数,0,総数,0,総数,01407,仁木町,2015000000,2015年,人
8956,2020_05,就業者数,0,総数,0,総数,0,総数,01408,余市町,2015000000,2015年,人
642,2020_05,就業者数,0,総数,0,総数,0,総数,01409,赤井川村,2015000000,2015年,人
4044,2020_05,就業者数,0,総数,0,総数,0,総数,01423,南幌町,2015000000,2015年,人
2585,2020_05,就業者数,0,総数,0,総数,0,総数,01424,奈井江町,2015000000,2015年,人
1161,2020_05,就業者数,0,総数,0,総数,0,総数,01425,上砂川町,2015000000,2015年,人
2762,2020_05,就業者数,0,総数,0,総数,0,総数,01427,由仁町,2015000000,2015年,人
5916,2020_05,就業者数,0,総数,0,総数,0,総数,01428,長沼町,2015000000,2015年,人
5983,2020_05,就業者数,0,総数,0,総数,0,総数,01429,栗山町,2015000000,2015年,人
