value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,area,area_label,time,time_label,unit
57545046,00700,全域,000,総人口,001,男,T01,総数,000,総数,00000,全国,1980000000,1980年,人
43979413,00700,全域,000,総人口,001,男,T01,総数,000,総数,00001,全国市部,1980000000,1980年,人
13565633,00700,全域,000,総人口,001,男,T01,総数,000,総数,00002,全国郡部,1980000000,1980年,人
2735681,00700,全域,000,総人口,001,男,T01,総数,000,総数,01000,北海道,1980000000,1980年,人
735350,00700,全域,000,総人口,001,男,T01,総数,000,総数,02000,青森県,1980000000,1980年,人
688373,00700,全域,000,総人口,001,男,T01,総数,000,総数,03000,岩手県,1980000000,1980年,人
1024843,00700,全域,000,総人口,001,男,T01,総数,000,総数,04000,宮城県,1980000000,1980年,人
603350,00700,全域,000,総人口,001,男,T01,総数,000,総数,05000,秋田県,1980000000,1980年,人
605401,00700,全域,000,総人口,001,男,T01,総数,000,総数,06000,山形県,1980000000,1980年,人
990491,00700,全域,000,総人口,001,男,T01,総数,000,総数,07000,福島県,1980000000,1980年,人
1272116,00700,全域,000,総人口,001,男,T01,総数,000,総数,08000,茨城県,1980000000,1980年,人
885282,00700,全域,000,総人口,001,男,T01,総数,000,総数,09000,栃木県,1980000000,1980年,人
908825,00700,全域,000,総人口,001,男,T01,総数,000,総数,10000,群馬県,1980000000,1980年,人
2736485,00700,全域,000,総人口,001,男,T01,総数,000,総数,11000,埼玉県,1980000000,1980年,人
2380207,00700,全域,000,総人口,001,男,T01,総数,000,総数,12000,千葉県,1980000000,1980年,人
5841538,00700,全域,000,総人口,001,男,T01,総数,000,総数,13000,東京都,1980000000,1980年,人
3531800,00700,全域,000,総人口,001,男,T01,総数,000,総数,14000,神奈川県,1980000000,1980年,人
1193379,00700,全域,000,総人口,001,男,T01,総数,000,総数,15000,新潟県,1980000000,1980年,人
532676,00700,全域,000,総人口,001,男,T01,総数,000,総数,16000,富山県,1980000000,1980年,人
542313,00700,全域,000,総人口,001,男,T01,総数,000,総数,17000,石川県,1980000000,1980年,人
